country_code,country_name,is_benchmark,evi_main_avg,evi_robust_010_avg,evi_robust_020_avg,dri_avg,risk_gap_avg,risk_gap_robust_010_avg,risk_gap_robust_020_avg
IDN,Indonesia,False,0.6242889399019711,0.6054312171194863,0.5865734943370017,0.4245482586842282,0.19974068121774288,0.18088295843525815,0.1620252356527734
LAO,Laos,False,0.3239943451999581,0.2955489938791344,0.26710364255831065,0.23955341059667276,0.08444093460328535,0.055995583282461625,0.027550231961637903
CHN,China,True,0.7616382124574882,0.7231722831428625,0.6847063538282371,0.7253484558255484,0.03628975663193973,-0.0021761726826858285,-0.04064210199731141
MYS,Malaysia,False,0.613802009149706,0.6180425050824704,0.6222830010152348,0.6170937805815537,-0.00329177143184776,0.0009487245009166719,0.005189220433681085
PHL,Philippines,False,0.42234225654931995,0.4372506278425728,0.4521589991358255,0.4726016007478064,-0.05025934419848636,-0.035350972905233535,-0.02044260161198075
KHM,Cambodia,False,0.32661966848366436,0.3186604016102481,0.3107011347368319,0.3966416790339462,-0.07002201055028189,-0.0779812774236981,-0.08594054429711433
VNM,Vietnam,False,0.5348072755152894,0.5070200985030041,0.4792329214907187,0.6086895169335723,-0.07388224141828292,-0.10166941843056825,-0.1294565954428536
THA,Thailand,False,0.3645496895088358,0.36811919237565904,0.37168869524248227,0.6923181541666491,-0.32776846465781323,-0.32419896179099,-0.3206294589241668
SGP,Singapore,False,0.3852742684102668,0.44575918863398245,0.5062441088576981,0.7992306774382394,-0.41395640902797265,-0.353471488804257,-0.29298656858054134
